Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;23;7411767;"Philip Westerduin";1988;4.0;0-1;4.0;2191;"Paul Hummel";8098827;19
2;2;6262465;"Peter de Korver";2018;2.5;1-0;3.5;1992;"Chingthang Ngangbam";8869729;53
3;70;6960052;"Bert van der Marel";2081;3.5;0-1;3.0;1747;"Aileshwar Ramcharan";9096153;26
4;64;8827203;"Wouter Doorn";1636;3.0;0-1;3.0;1773;"Maurits Bons";7659916;14
5;49;8104767;"Tony Zhang";2202;3.0;1-0;3.0;2011;"Jungbin Lee";8547814;52
6;20;8111147;"Lendert Van den Ouden";2131;4.0;1-0;3.0;1839;"Bart Kroon";8946377;7
7;17;9095999;"Jules Immerzeel";1576;3.0;0-1;3.0;2034;"Henk Ochtman";6948337;1
8;50;8610294;"Joaquin Aarts";2123;3.0;1-0;3.0;1823;"Rik Langeveld";8946355;9
9;8;8979707;"Leo Bolle";1936;2.5;0-1;3.0;2097;"Rachid Schrik";7623528;21
10;32;9066761;"Lakshay Narasimhan";1468;2.5;0-1;2.5;1922;"Kamar Muhannad";7992743;73
11;51;7376611;"Frank Verkooijen";2039;2.5;1-0;2.5;2000;"Adrie Borrenans";;71
12;54;8707633;"Jona can de Poel";1959;2.5;1-0;2.5;1940;"Jaume Gotes Perez";8959203;55
13;10;;"Marti Sans";1800;2.5;0-1;2.5;1925;"Leon Mau-Asam";9041780;3
14;34;9114512;"Parv Garg";1357;2.0;0-1;2.0;500;"Machiel van Soest";;47
15;25;7962669;"Willem de Koster";1837;2.0;1-0;2.0;1574;"Lennard de Korver";7984592;28
16;6;8636155;"Jie-Ren Tjin A Lien";1802;2.0;1/2-1/2;2.0;1804;"Martin Wiersma";9031858;11
17;38;;"Jelmer Wiegel";1000;2.0;1/2-1/2;2.0;1868;"Andre Wagner";7460365;5
18;15;9014698;"Dorus Brouwer";1680;2.0;0-1;2.0;1683;"Paul Koks";7807943;16
19;58;7634297;"Lothar van der Sluijs";1864;2.0;1-0;2.0;1875;"Ben Spierings";7667242;57
20;60;8100422;"Jaco Arkensteijn";1766;2.0;1-0;2.0;1524;"Rithanya Ragesh";9032320;30
21;24;9042759;"Wilco van de Velde";1782;2.0;0-1;2.0;1733;"Rene Weerts";7439454;63
22;56;9050228;"Daan Wille";1928;2.0;0-1;2.0;1704;"Hans Mes";8886669;69
23;39;;"Kees Roest";1000;1.5;0-1;2.0;1978;"Ton Bodaan";7057886;22
24;12;8963053;"Tom van Boheemen";1782;1.5;1-0;1.5;1744;"Eric Alvares";7794303;61
25;4;7796041;"Vincent Geerlings";1912;1.5;1-0;1.5;1000;"Varun Kumar";9123862;59
26;66;;"Floris Graveland";1200;1.0;1-0;1.0;916;"Mavin de Moulin";9086033;42
27;72;7984592;"Barend Lavrijsen";1540;1.0;1/2-1/2;1.0;1424;"Sebastiaan Steenbergh";9080852;29
28;33;8985350;"Kaya Grguric";1169;1.0;0-1;1.0;1776;"Ike Tjin A Lien";8081095;13
29;40;8995206;"Gayathri Rathna Subramania";1013;1.0;0-1;1.0;1658;"Dakshesh N. Neelakantan";9112862;27
30;43;;"Ralph van der Burg";0;1.0;0-1;1.0;1200;"Koen Simonides";;67
31;62;9033002;"Ruben van Bussel";1735;1.0;1-0;1.0;500;"Chris van den Berg";9127294;46
32;37;9087969;"Floris van der Kellen";1048;0.0;0-1;0.5;1120;"Ans van Soest";9086055;68
33;48;9094998;"Surya Rathna Subramanian";627;0.0;0-1;0.0;600;"Rogier Wolff";;44
-;45;9126304;"Sylvia van den Berg";500;0.0;1;;;
-;65;9129615;"Thomas Bohner";1284;1.0;0;;;bye
